tweet,label
"This time tomorrow\u002c @quinnjessica and I will be well on our way to Starkville for a sick weekend...the USM game is going to be atrocious. 
",negative
"@cassiehendrix are you in the land of my fathers*? (*just the one father. Ignore what you may have read of Liverpudlian sexual mores) 
",neutral
"False start penalty\u002c Garner moved early. Brings up 3rd and 16 from the Yale 47. 
",negative
"""Crazy asian Driver with the Need for Speed can't wait November 5 Official E3 Trailer PC, PS4, Xbox One via @amber52 
",positive
"""Even if he wasn't a wrestler, I figure Dean Ambrose would still be drunkenly fighting someone every Monday night."" 
",negative
"@kingjason @kingjason an Erdogan hater wouldn't be an AKP voter in the 1st place. Especially when Erdogan is out of the party now. 
",negative
"Its okay if its almost 5am and ive had no sleep in like three days cos im on the 4th season of Game of Thrones so who's the real winner here 
",positive
"@kristine47 Michael Marshall shot the hell out of the Hannibal finale. (This movie rules. Loving Maddin Monday) 
",positive
"Pose of TRIUMPH!! Jogged over the Brooklyn Bridge with my mom and sis @sray this morning. I'm SO lucky.    
",positive
"""Caitlyn Jenner may be charged with manslaughter: When you are involved in a motor vehicle accident, you suffer... 
",negative
"@imedina Hey Milan - A member of our team has sent you an email. Please reply there with any questions you may have. 
",neutral
"In the car on our way to Milton Keynes to see the Foo Fighters tomorrow. #foofighters #miltonkeynes 
",positive
"So excited to see what #Apple announces! My wish - a huge iPad that I can draw on with a stylus @taylor46 #tech 
",positive
"""Tum Kya Samajhty Ho Choro Gay To Mar Jayen Gay hum,  .H!NA  1 Bat Kahun Tum Se Jee to wo b rahy he jin ko chora ta tere liye.  Sweet prince."" 
",positive
"Scrubbin to the max tomorrow cause I gotta work out and leave for a game. 
",neutral
"Love this song! One of my favorites for sure. Can\u2019t wait to see you tomorrow at The Roxy! (@YouTube 
",positive
"@donnagallegos Yep, it should be pretty good. Did you see our interview with Morgen about Crossfire Hurricane? 
",positive
"THE SUNDAY DAILY The Rock: Hulk Hogan's paid the price for racist rant: DWAYNE 'The Rock' Johnson (pix)... #PrkDR 
",positive
